title,popularity,vote_count,mdb_id,vote_average,release_date,genre
Tuck Everlasting,7.932,275,13768,6.5,2002-10-11,sci-fi
Repo Men,16.451,1143,31867,6.3,2010-03-18,sci-fi
The Humanity Bureau,10.885,148,456048,4.9,2017-07-11,sci-fi
The Perfect Weapon,6.57,38,416149,4.1,2016-09-09,sci-fi
Jason X,12.335999999999999,656,11470,4.6,2001-07-24,sci-fi
Digimon: The Movie,9.137,173,20455,6.5,2000-03-17,sci-fi
The Lobster,21.737,3615,254320,7.0,2015-07-10,sci-fi
It's Alive,4.138999999999999,31,23174,4.0,2008-08-15,sci-fi
The Fountain,15.209000000000001,1679,1381,7.0,2006-09-06,sci-fi
Dungeons & Dragons,16.484,332,11849,4.1,2000-12-08,sci-fi
The Invasion,14.547,820,4858,5.9,2007-08-17,sci-fi
Parts Per Billion,4.809,41,270654,4.3,2014-03-25,sci-fi
Supernova,9.277000000000001,191,10384,4.9,2000-01-14,sci-fi
The Space Between Us,15.409,1664,365942,7.1,2017-01-26,sci-fi
Criminal,21.252,1025,302156,6.0,2016-04-07,sci-fi
Hardcore Henry,12.564,1470,325348,6.2,2015-09-12,sci-fi
Ghosts of Mars,13.690999999999999,594,10016,5.1,2001-08-24,sci-fi
Slither,15.812999999999999,720,9035,6.4,2006-03-31,sci-fi
Street Fighter: The Legend of Chun-Li,12.956,243,15268,4.1,2009-02-27,sci-fi
Zoom,12.259,332,14113,5.1,2006-08-11,sci-fi
Hotel Artemis,15.315999999999999,781,406761,6.0,2018-06-07,sci-fi
Upgrade,23.275,1882,500664,7.4,2018-06-01,sci-fi
The Astronaut Farmer,9.383,207,5172,6.3,2006-10-15,sci-fi
Death House,5.289,20,287523,3.1,2018-02-28,sci-fi
Kin,14.711,434,425505,6.1,2018-08-29,sci-fi
Moon,19.086,3574,17431,7.6,2009-06-12,sci-fi
Seeking a Friend for the End of the World,13.050999999999998,1261,88005,6.4,2012-06-22,sci-fi
Never Let Me Go,18.977,1464,42188,6.8,2010-09-15,sci-fi
Stargate: The Ark of Truth,10.198,240,13001,7.1,2008-03-11,sci-fi
Morgan,14.626,939,377264,5.7,2016-09-01,sci-fi
Iron Sky,17.271,959,10679,5.7,2012-03-10,sci-fi
Upside Down,16.035,1802,58244,6.2,2012-09-27,sci-fi
Replicas,20.089,652,300681,5.9,2018-10-25,sci-fi
A Scanner Darkly,15.43,1063,3509,6.9,2006-05-25,sci-fi
The Adventures of Pluto Nash,12.129,285,11692,4.3,2002-08-15,sci-fi
The Secret of Moonacre,12.23,259,18032,6.3,2008-09-06,sci-fi
Outlander,16.683,655,10529,6.2,2008-04-24,sci-fi
Planet Hulk,10.897,218,30675,6.7,2010-02-02,sci-fi
Ultimate Avengers,9.522,181,14609,6.5,2006-02-21,sci-fi
Absolutely Anything,13.331,804,86828,5.7,2015-06-26,sci-fi
Max Steel,13.407,426,286567,5.3,2016-10-14,sci-fi
Midnight Special,11.442,1260,245703,6.3,2016-02-18,sci-fi
Battle for Terra,10.455,175,16873,6.2,2007-09-06,sci-fi
A Sound of Thunder,10.241,201,10077,4.6,2005-05-15,sci-fi
Captive State,13.605,459,429471,5.4,2019-03-15,sci-fi
Carriers,19.372,571,25769,5.8,2009-09-04,sci-fi
Monsters,12.895,982,43933,6.2,2010-06-18,sci-fi
Monkeybone,11.602,159,23685,4.5,2001-02-23,sci-fi
Under the Skin,15.945,2089,97370,6.1,2014-03-14,sci-fi
Equilibrium,21.45,2793,7299,7.0,2002-12-06,sci-fi
Justice League: The New Frontier,11.569,240,14011,6.7,2008-02-26,sci-fi
Action Replayy,2.895,38,49679,5.2,2010-11-05,sci-fi
Xchange,4.519,30,26446,5.6,2001-01-19,sci-fi
Dylan Dog: Dead of Night,8.666,290,43935,4.5,2011-03-16,sci-fi
Atlas Shrugged: Part I,8.413,107,56780,5.3,2011-04-14,sci-fi
Safety Not Guaranteed,12.408,884,84332,6.9,2012-06-08,sci-fi
S. Darko,13.57,248,17532,3.9,2009-04-28,sci-fi
Attack the Block,11.056,1296,59678,6.4,2011-05-12,sci-fi
2:22,15.276,974,269795,5.9,2017-06-29,sci-fi
