,title,popularity,vote_count,id,vote_average,release_date,genre_ids
1,Fantastic Four,24.614,4236,166424,4.4,2015-08-05,"[28, 12, 878]"
2,The Incredible Hulk,39.485,7322,1724,6.2,2008-06-12,"[28, 12, 878]"
3,The Happening,17.382,1992,8645,5.1,2008-06-11,"[878, 53]"
4,The Island,26.20300000000001,3471,1635,6.6,2005-07-21,"[28, 12, 878, 53]"
5,Limitless,19.843,7214,51876,7.2,2011-03-08,"[9648, 878, 53]"
6,The Predator,28.1,2574,346910,5.3,2018-09-05,"[28, 12, 35, 27, 878, 53]"
7,The Book of Eli,19.29,3984,20504,6.7,2010-01-11,"[28, 53, 878]"
8,Knowing,21.166,3178,13811,6.0,2009-03-19,"[28, 12, 18, 9648, 878, 53]"
9,I Am Number Four,20.967,3207,46529,6.1,2011-02-18,"[28, 53, 878, 12]"
10,Resident Evil: Extinction,4.648,2505,7737,6.2,2007-09-20,"[28, 27, 878]"
11,Source Code,22.585,5244,45612,7.2,2011-03-30,"[9648, 878, 53]"
12,The Last Witch Hunter,22.232,2496,274854,5.8,2015-10-21,"[28, 12, 14, 878]"
13,Chronicle,18.271,3426,76726,6.7,2012-02-01,"[878, 18, 53]"
14,Power Rangers,26.282,3027,305470,6.2,2017-03-23,"[28, 12, 878]"
15,Contagion,74.021,3265,39538,6.5,2011-09-08,"[18, 878, 53]"
16,The First Purge,25.127,2263,442249,5.8,2018-07-04,"[28, 878, 53, 27]"
17,A Wrinkle in Time,16.07,1258,407451,5.0,2018-03-08,"[12, 14, 878, 10751]"
18,Cloud Atlas,24.976,5019,83542,6.8,2012-10-26,"[18, 878]"
19,Resident Evil: Apocalypse,11.194,2571,1577,6.3,2004-09-10,"[28, 27, 878]"
0,Blade: Trinity,20.329,2373,36648,5.8,2004-12-08,"[28, 12, 14, 27, 878, 53]"
1,The Adjustment Bureau,20.122,2965,38050,6.7,2011-03-03,"[878, 53, 10749]"
2,Ad Astra,506.974,2983,419704,6.0,2019-09-17,"[18, 878]"
3,Lucy,33.77,11312,240832,6.3,2014-07-25,"[28, 878]"
4,Predators,21.976,2261,34851,6.1,2010-07-03,"[28, 12, 878, 53]"
5,Ender's Game,16.072,3966,80274,6.6,2013-10-23,"[878, 28, 12]"
6,The Time Machine,15.177,1283,2135,6.0,2002-03-04,"[28, 12, 878]"
7,The Invisible Man,135.005,1405,570670,7.1,2020-02-26,"[27, 878, 53]"
8,Nutty Professor II: The Klumps,10.024,811,12107,4.9,2000-07-27,"[35, 14, 878, 10749]"
9,Surrogates,16.553,2072,19959,6.0,2009-09-24,"[28, 878, 53]"
10,The Forgotten,12.169,662,10145,5.7,2004-09-24,"[18, 27, 9648, 878, 53]"
11,The Chronicles of Riddick,9.684,2595,2789,6.4,2004-06-11,"[28, 878]"
12,The Dark Tower,26.581,3334,353491,5.6,2017-08-03,"[28, 12, 14, 878]"
13,Underworld: Evolution,17.491,2637,834,6.5,2006-01-12,"[14, 28, 878, 53]"
14,The 5th Wave,24.406999999999996,4103,299687,5.9,2016-01-14,"[12, 878]"
