Title,Popularity,Vote_Count,Vote_Average,Release_Date,Genre,Revenue,Subgenre
Captive State,13.605,459,5.4,2019-03-15,sci-fi,5958315,Future
Attack the Block,11.056,1296,6.4,2011-05-12,sci-fi,1024175,Alien_Invasion
Robot & Frank,8.65,691,6.9,2012-08-16,sci-fi,3325038,Robot
Robot & Frank,8.65,691,6.9,2012-08-16,sci-fi,3325038,Future
Predestination,22.296,3894,7.4,2014-08-28,sci-fi,68372,Time_Travel
Universal Soldier: Day of Reckoning,10.699000000000002,222,5.3,2012-10-04,sci-fi,5460,Robot
The Recall,9.449,197,4.0,2017-06-02,sci-fi,22943,Alien_Invasion
Evil Bong 3: The Wrath of Bong,3.1630000000000003,11,4.4,2011-04-08,sci-fi,91260,Alien_Invasion
Freaks of Nature,11.880999999999998,279,5.9,2015-10-30,sci-fi,70958,Alien_Invasion
Synchronicity,10.601,234,5.7,2015-07-22,sci-fi,4505,Time_Travel
Testament,0.8590000000000001,0,0.0,2017-10-22,sci-fi,2044892,Post_Apocalypse
Alien Nation,0.86,0,0.0,2022-12-31,sci-fi,25216243,Alien_Invasion
Alien Nation,0.86,0,0.0,2022-12-31,sci-fi,25216243,Future
Time Freak,13.715,155,6.3,2018-11-09,sci-fi,10003,Time_Travel
Time Freak,2.82,10,7.0,2011-02-10,sci-fi,10003,Time_Travel
Oasis,1.852,17,7.3,2017-03-17,sci-fi,10304,Affliction
A-X-L,15.058,548,5.8,2018-08-23,sci-fi,6501381,Robot
1984,4.06,0,0.0,2008-05-12,sci-fi,8430492,Future
Dystopia: 2013,0.6,1,2.0,2012-01-15,sci-fi,1708,Post_Apocalypse
The Philadelphia Experiment,8.18,71,4.6,2012-07-27,sci-fi,8103330,Time_Travel
The History of Future Folk,5.8729999999999976,34,6.8,2012-06-15,sci-fi,17646,Alien_Invasion
Storage 24,6.119,74,4.3,2012-06-29,sci-fi,72,Alien_Invasion
Sound of My Voice,7.451,196,6.4,2011-01-22,sci-fi,408015,Time_Travel
The Day,9.857999999999999,150,5.0,2011-09-15,sci-fi,20984,Post_Apocalypse
Just Visiting,9.924,405,4.6,2001-04-06,sci-fi,4781539,Time_Travel
Time Changer,3.736,22,5.2,2003-10-25,sci-fi,1285167,Time_Travel
Robot Stories,3.1180000000000003,10,4.6,2003-01-01,sci-fi,131451,Robot
Alien Trespass,6.2639999999999985,44,5.4,2009-04-03,sci-fi,104526,Alien_Invasion
Wonder Woman,11.495,296,7.3,2009-03-03,sci-fi,412563408,Supernatural
Wonder Woman,11.495,296,7.3,2009-03-03,sci-fi,412563408,Superhero
Impostor,10.091,221,6.1,2001-12-03,sci-fi,6285176,Alien_Invasion
